20230304	20:46:16	34445112-0218-4fa1-9120-9ec7ae253682	/new-page	GET
20230304	20:46:16	0ca09b63-d4f0-4614-bb40-b644b462ebbd	/css/style.css	GET
20230304	20:46:16	57165874-237f-4d35-a2e3-cd612f96660f	/img/img1.jpg	GET
20230304	20:46:17	ff1129f0-860a-42bc-845b-6d1fe0f995e1	/favicon.ico	GET
20230304	20:46:17	5f096301-e749-4ad9-9617-06cee7862c41	/new-page	GET
20230304	20:46:17	4b2492f8-971f-4d36-93cd-c26fe736f6bd	/css/style.css	GET
20230304	20:46:17	e2599cda-1913-4a96-8ce6-93098b9352f4	/img/img1.jpg	GET
20230304	20:46:18	2d2a442f-957e-4675-b0de-93580e8170d0	/new-page	GET
20230304	20:46:18	ffb5288c-f19f-485b-9581-12c27e98d2e4	/css/style.css	GET
20230304	20:46:18	6da179e5-91d8-445a-8ddb-796f0081eb43	/img/img1.jpg	GET
20230304	20:47:24	65e332f0-6242-43f9-bf6c-4f9c8da5a09a	/new-page	GET
20230304	20:48:26	7f799bf7-3cb5-47a9-b167-e0bc3025e592	/new-page	GET
20230304	20:48:26	6e678b4b-512a-46cc-a53d-f1e0944b1250	/css/style.css	GET
20230304	20:48:26	3df37ad4-47f6-476a-87c7-2e3a63e7520b	/img/img1.jpg	GET
20230304	20:48:34	20e649da-4695-4aa7-8b76-a5e6cb7aad82	/	GET
20230304	20:48:34	55f13cb7-524c-417f-9d34-a599a1f75ab9	/css/style.css	GET
20230305	21:27:08	469383fc-cfb4-47a3-852d-efb9c8c4246b	GET	undefined	/
20230305	21:27:08	164a46d9-ce3f-4ba4-a09b-a2f964f0c4fd	GET	undefined	/css/style.css
20230305	21:30:43	9a7e58cc-12ab-4818-8640-be1e6ab08ec2	GET	undefined	/
20230305	21:30:43	6958ca75-d130-4517-b4de-c63920e70f3d	GET	undefined	/css/style.css
20230305	21:33:06	1b55a262-3799-4a4d-b5d3-4c31fbe21739	GET	undefined	/
20230305	21:33:06	78798538-9ae9-47b2-9f74-e587a616f88e	GET	undefined	/css/style.css
20230305	21:33:31	ee7ceec8-d772-4fa4-a850-cb4f99b0feda	OPTIONS	https://www.google.com	/
20230305	21:33:31	84c092f9-5533-40c6-891e-38754fc6966f	GET	https://www.google.com	/
20230305	21:36:03	de0d0017-6f88-4a2f-b0f1-e49f6f9b2406	OPTIONS	https://www.google.com	/
20230305	21:36:03	8a1c963f-e9f6-4fbe-bfbf-d1a78dc16a9f	GET	https://www.google.com	/
20230305	21:46:46	f7e4a54c-4662-4fdc-b4f7-9a80797148df	OPTIONS	https://www.google.com	/
20230305	21:46:46	b9bb3746-aadd-4f7b-b5df-ebf5c9e1ebf1	GET	https://www.google.com	/
20230305	21:47:05	f559ffff-4ac9-4a23-8aca-fceaf03f08f8	OPTIONS	https://www.google.com	/
20230305	21:47:05	fb832645-3337-42e5-ae8a-cf3e8dee6998	GET	https://www.google.com	/
20230305	21:48:13	d8c44960-80ac-4ccf-9b28-d29d80e4c2d3	OPTIONS	https://www.google.com	/
20230305	21:48:13	684ba720-e0b4-4ee5-a716-55a4111ce7a5	GET	https://www.google.com	/
20230305	21:52:07	89834fb1-6845-48c2-a387-7b441a8c478a	GET	undefined	/
20230305	21:53:08	f9a25f90-c079-49fe-b7be-a96b93c05cef	GET	undefined	/
20230305	21:53:08	9c4336c2-7d24-4321-9664-237f22776511	GET	undefined	/css/style.css
20230305	21:59:09	887d3f83-d633-49fa-82b4-58b8fae2cc90	GET	undefined	/
20230305	22:00:10	00149d45-9ca7-4dc2-9dc8-ae0b010f5cb8	GET	undefined	/
20230305	22:00:10	e6e8f16f-32a8-43f3-b072-f4e8592fcd4b	GET	undefined	/css/style.css
20230305	22:01:44	7735d0f0-b3c9-4e41-9a8d-b75bb8541b4f	GET	undefined	/
20230305	22:01:44	a4989e5e-d76f-46a8-a26b-176074f7e012	GET	undefined	/css/style.css
20230305	22:01:47	e491db2e-9755-4557-a0f2-e0a0199833b7	GET	undefined	/%E0%B8%81%E0%B8%9F
20230305	22:01:47	1b77d1c3-4174-48cf-b1a0-09b41ec56be4	GET	undefined	/css/style.css
20230305	22:05:54	c89b89c9-27d8-46ed-8f3e-88600861d9ee	GET	undefined	/%E0%B8%81%E0%B8%9F
20230305	22:05:54	93595241-7531-458c-9272-f1e72aba2e22	GET	undefined	/css/style.css
20230305	22:06:22	fe33ef2f-83ca-4dd8-bb3e-85e33fbd7f66	GET	undefined	/PP
20230305	22:06:22	f9e93a8c-d860-4295-81e8-244c6219fc78	GET	undefined	/css/style.css
20230305	22:16:58	0652cecb-df08-4268-afbf-4092ceedbac1	GET	undefined	/
20230305	22:16:59	20d99b5e-da56-405f-accf-7ab7faac3076	GET	undefined	/css/style.css
20230305	22:17:16	7cef6093-18a6-45a2-9c06-957d6811c3bd	GET	undefined	/subdir
20230305	22:17:29	a8a81e41-6de8-4e21-b6c9-802e2d691a52	GET	undefined	/subdir/test.hmtl
20230305	22:17:29	d846fa98-ee4f-4f23-9354-7a37246876ca	GET	undefined	/subdir/css/style.css
